Source path,Class name,Checksum,Description,Responsibility,Pattern 1,Pattern 2,Pattern 3,Inference time (ms),Input tokens,Output tokens
exist-start/src/main/java/org/exist/start/StartException.java,org.exist.start.StartException,af6e05e29ea0c318323d3c3794ee9e47a9539fa59df92220d02f263eb53e827c,"This class represents a custom exception that can be thrown to indicate errors during a startup process, carrying an error code and an optional message.",Error Handling,Exception,,,1521,438,78
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,fd6281a082d0ac17c9daff4b976ffce4c167741b95835964baa83b9ada350219,"This class represents a specific, incompatible version of the Java runtime, allowing for the definition of required major versions and optional constraints on minor and patch versions.",Version Constraint,Factory Method,Value Object,,818,608,100
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,2896b7560a05f9a5a10d5345f25cbdf249e766fd5ce40f52bdd25511125b5696,"This class is designed to verify if the currently running Java version is compatible with eXist-db. It checks against a list of known incompatible Java versions and will raise an exception if an incompatible version is detected, ensuring the stability and integrity of the database.",Java Version,Guard Clause,Static Factory,,696,1313,122
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,f8659f0675751810ac8bf5b799e6d547ff962db86039ab6b190eed4fc0a340c7,"This class manages a collection of file system paths that constitute a classpath, allowing for the addition of components and the retrieval of a custom class loader based on these paths.",Classpath management,Builder,Collection,,686,763,101
exist-start/src/main/java/org/exist/start/classloader/EXistClassLoader.java,org.exist.start.classloader.EXistClassLoader,7d59bbb461c42de1e23c396b95eb5995e3f1657bf95691b62d59f408593a6ad7,"This class serves as the primary class loader for the eXist system, enabling the dynamic addition of resource locations at runtime.",Root class loader,Extension,,,603,489,77
exist-start/src/main/java/org/exist/start/classloader/ReflectionUtils.java,org.exist.start.classloader.ReflectionUtils,7f5bd042206624451626742ef92016c0c45a8d7a157c38ede3d4826f5838c87c,"This class provides utility methods for performing reflective operations, specifically for invoking the main method of a class dynamically and managing a custom class loader.",Reflection utilities,Utility Class,Factory Method,,897,853,97
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,fa36a1f95ed3eb0093a3f537f9b924cc87e3775a2ad851f55fd8328b75d70932,"This class is responsible for bootstrapping and configuring the eXist-db Java environment before the database starts, by orchestrating various setup tasks and resolving necessary configurations.",Bootstrap setup,Singleton,Factory Method,,1085,2892,101
exist-start/src/main/java/org/exist/start/StopException.java,org.exist.start.StopException,5234cb50f7189f61c30529eb26d1a5041535bab8458a58867136aa49e047fb58,This class represents a custom exception that signals the intentional stopping of a process or operation.,Error handling,,,,484,391,48
exist-samples/src/main/java/org/exist/samples/Samples.java,org.exist.samples.Samples,1c71ba6c2301aebfff393ff87b663b1f1c7aaa67e7fbbdade74b6bc9dc6a20bc,"Provides access to various sample data files and their corresponding metadata, such as streams and URLs, for use within the application.",Sample Access,Singleton,Facade,,636,920,92
exist-core/src/main/java/org/exist/xslt/TemplatesFactory.java,org.exist.xslt.TemplatesFactory,849e6714913196e33caec50fa318f2e0368c673e4056e4eaae7fd091dd529e25,"This class acts as a factory for creating and managing stylesheet resolvers and compilers, with support for caching instances for reuse.",Stylesheet factory,Factory,Cache,,482,755,91
exist-core/src/main/java/org/exist/xslt/Stylesheet.java,org.exist.xslt.Stylesheet,5cd1a1bcf6e671685adfe985fc5b49fabb1ce3cac01f4c51b3ba19e9f41c140c,"This interface defines a contract for resolving and compiling XSLT stylesheets, providing methods to obtain compiled `Templates` objects and `TransformerHandler` instances for applying transformations. It is designed to work with a `DBBroker` for stylesheet retrieval and supports custom error listeners.",Stylesheet Compilation,Strategy,Interface,,3830,604,121
exist-core/src/main/java/org/exist/xslt/StylesheetResolverAndCompiler.java,org.exist.xslt.StylesheetResolverAndCompiler,ffb267221ba7f3592519bd157b3b15a32e47065d61f6c7d96f3bcf5fe6a7a365,"This class acts as a resolver and compiler for XSLT stylesheets, managing the loading, compilation, and caching of `Templates` objects for efficient transformation processing.",Stylesheet processing,Factory,Cache,Template Method,678,860,118
exist-core/src/main/java/org/exist/xslt/XSLTErrorsListener.java,org.exist.xslt.XSLTErrorsListener$ErrorType,66e53f27dd1f52985746ed4e59cb76b4271b89775c280f5e9135bfac8bb011ee,"This code defines an enumeration for categorizing different types of errors, specifically warning, error, and fatal.",Error classification,,,,400,380,52
exist-core/src/main/java/org/exist/xslt/XSLTErrorsListener.java,org.exist.xslt.XSLTErrorsListener,07e271a5a4a1a76aed2e89eadef9d136897827a586d4182c573baf81fd823203,"This class serves as a listener for XSL transformation errors, allowing for configurable handling of warnings, errors, and fatal errors by either logging them or stopping the transformation process.",Error Handling,Listener,Template Method,Strategy,557,847,120
exist-core/src/main/java/org/exist/xslt/EXistDbXMLReader.java,org.exist.xslt.EXistDbXMLReader,5670ee60c8f4f0f9d76c515c4be03dd309c3e46f38cd7a6c3f29fa435c45cf3e,"This class acts as an XML reader that utilizes a serializer to deliver database documents to a content handler, implementing the SAX XMLReader interface.",XML Parsing,Adapter,Strategy,,690,978,96
exist-core/src/main/java/org/exist/xslt/TransformerFactoryAllocator.java,org.exist.xslt.TransformerFactoryAllocator,57f392bb610ef1bb846d94b8b27b8c7f10d182ffd3d7259b19e3e16bd5c74508,"This class is responsible for providing a configurable way to obtain a TransformerFactory for XSLT transformations, allowing the specific implementation to be determined by configuration settings rather than being hardcoded.","Factory, Configuration",Factory Method,Dependency Injection (indirect),Configuration,732,817,126
exist-core/src/main/java/org/exist/xslt/EXistURIResolver.java,org.exist.xslt.EXistURIResolver,b24c84a6c97a490d946c1890c9b94350dadab0c9f838b1dae984922503fa654e,"This class resolves uniform resource identifiers (URIs) by interfacing with a database broker pool to locate and retrieve resources, supporting both database-internal paths and external URLs.",URI Resolution,Adapter,Strategy,,652,642,101
exist-core/src/main/java/org/exist/xslt/XsltURIResolverHelper.java,org.exist.xslt.XsltURIResolverHelper,508ec90e6937fbd23cb6604fae427b36fac2b01389fc00f0520b8f769d80b6e9,"Provides utility methods for resolving URIs within XSLT processing, allowing for the retrieval of appropriate URI resolvers based on context.",URI Resolution,Helper,Factory,,687,550,93
exist-core/src/main/java/org/exist/xslt/EXistDbInputSource.java,org.exist.xslt.EXistDbInputSource,a8093719261f0767d209282634cd76c9935701380c68c3cea51e66e1e66d0d3d,"This class represents an XML document residing within the eXist database, providing access to its broker and document information, and allowing for the configuration of input streams.",Document Input,Adapter,,,515,543,83
exist-core/src/main/java/org/exist/xslt/EXistDbSource.java,org.exist.xslt.EXistDbSource,038782a374c45499419dd30c50ae5dbda355e0c8b43196d18e6f642d581fac1e,"This class provides an XML document from the eXist database as a SAXSource, enabling it to be processed by XML parsers.",XML Source,Adapter,,,530,614,79
exist-core/src/main/java/org/exist/xmlrpc/ExistRpcTypeFactory.java,org.exist.xmlrpc.ExistRpcTypeFactory,3bbfd787dedbb6668e026f1bb1d1a5e6b2d4654d1a4460511d607fb0172ecc57,"This class acts as a custom factory for creating XML-RPC types, specifically designed to support extended types when interacting with eXist-db.",Type Factory,Factory Method,Extension Point,,655,520,99
exist-core/src/main/java/org/exist/xmlrpc/RpcConnection.java,org.exist.xmlrpc.RpcConnection$DoctypeCount,457177249463e4abeff24d793f37722870000473cebca5d9b56ba84998835716,"This class is a container for a DocumentType and its associated count, designed to track the occurrences of specific document types.",Type counting,,,,489,435,55
exist-core/src/main/java/org/exist/xmlrpc/RpcConnection.java,org.exist.xmlrpc.RpcConnection$NodeCount,a2895525a9b9c3d245c1aab5ad9ceb4ac2e960aa2674b71d875254ebce82d9c6,"This class is a private helper for tracking the number of references to a DocumentImpl object, allowing for efficient memory management.",Reference Counting,Helper Class,Encapsulation,,522,439,95
exist-core/src/main/java/org/exist/xmlrpc/RpcConnection.java,org.exist.xmlrpc.RpcConnection$BufferingRestoreListener,7453d7fb14e8fe87e2688dc8450854d42fcf11a4f5f21cb42bc6b7cf31c88ec7,"This class acts as a listener that buffers and logs various events occurring during a restore operation, such as task start, descriptor processing, collection creation, resource restoration, skipped resources, informational messages, warnings, errors, and task completion.",Event buffering,Observer,State holder,,657,911,115
exist-core/src/main/java/org/exist/xmlrpc/RpcConnection.java,org.exist.xmlrpc.RpcConnection,b5cff1948bf226cb90660d88e4eaf464b95f70489964e9820a7770580c4d54e8,"This class implements the XML-RPC API for the eXist-db database, providing a wide range of methods for managing documents, collections, users, and executing queries.",Database API,Adapter,Facade,Gateway,617,18498,120
exist-core/src/main/java/org/exist/xmlrpc/RpcServlet.java,org.exist.xmlrpc.RpcServlet$XmldbRequestProcessorFactoryFactory,63eb97e133633e6980f5d92e540727539fc8b8054d190dc73c8c55d43c03c6e7,"This class acts as a factory for creating factories that produce request processors specifically designed for XML-RPC database interactions. It ensures that the correct processor factory is instantiated based on the requested class, managing its lifecycle.",Factory creation,Factory Method,Singleton (via AtomicLazyValE),,734,458,116
exist-core/src/main/java/org/exist/xmlrpc/RpcServlet.java,org.exist.xmlrpc.RpcServlet$DefaultHandlerMapping,69983f592e7f2724bdd075bc34c4cbffb08e823486f73e1cbd2b749691bc940b,"This class registers public methods from a provided Java class as default XML-RPC handlers, enabling their invocation via XML-RPC without requiring explicit handler name mapping.",Handler Registration,Strategy,Template Method,,551,478,100
exist-core/src/main/java/org/exist/xmlrpc/function/XmlRpcDocumentFunction.java,org.exist.xmlrpc.function.XmlRpcDocumentFunction,63313c752b93bd5553306572768072e26424fc5032e2912497473f221e077cc5,"This interface defines a specialized function for handling XML-RPC server operations, focusing on converting database-related exceptions into EXistException types.",XML-RPC Processing,Strategy,Functional Interface,,647,747,98
exist-core/src/main/java/org/exist/xmlrpc/function/XmlRpcFunction.java,org.exist.xmlrpc.function.XmlRpcFunction,935f1565536aa8f528c61ce025a2781383ec16bf44d5792954c066e0322da2b3,"This interface defines a functional operation for XML-RPC servers, specifically handling database interactions by converting various exceptions into `EXistException` or `PermissionDeniedException` types.",XML-RPC Operations,Strategy,Functional Interface,,616,733,105
exist-core/src/main/java/org/exist/xmlrpc/function/XmlRpcCollectionFunction.java,org.exist.xmlrpc.function.XmlRpcCollectionFunction,687da5f3ba912e3ddcf270011762b7484e4c46c8d55300b44d0bf77507c5c399,"This interface defines a functional contract for operations targeting XML-RPC server functionalities, specifically designed to process collections within a database transaction and handle various exceptions by converting them into a standardized EXistException type.",XML-RPC Collection,Functional Interface,Adapter,,643,781,110
exist-core/src/main/java/org/exist/xmlrpc/function/XmlRpcCompiledXQueryFunction.java,org.exist.xmlrpc.function.XmlRpcCompiledXQueryFunction,0475e6026c5ec1846027740e283c66f1138e05b034eb1fa14ca04c9bff1d9aee,"This interface represents a specialized function for handling XML-RPC server operations, primarily focused on converting database exceptions into specific EXistException types when executing compiled XQueries.",XML-RPC Execution,Functional Interface,Strategy,,717,671,103
exist-core/src/main/java/org/exist/xmlrpc/TupleSerializer.java,org.exist.xmlrpc.TupleSerializer,06b557c92dc47a478700c64edf413b1489267168aad335a081aa40c4237e0bc1,"This class is responsible for serializing objects, specifically sub-classes of `Tuple`, into an XML format suitable for XML-RPC communication.",XML Serialization,Strategy,Adapter,,479,612,96
exist-core/src/main/java/org/exist/xmlrpc/AbstractCachedResult.java,org.exist.xmlrpc.AbstractCachedResult,096d6775d39b8167246e90a53b7151b22347687d39591df2dafa4a2607334bff,"This abstract class serves as a container for cached query results, enabling retrieval of data in chunks and managing the lifecycle of the cached resource.",Result Caching,Template Method,Resource Management,,652,993,98
exist-core/src/main/java/org/exist/xmlrpc/CachedContentFile.java,org.exist.xmlrpc.CachedContentFile,c5010e67249d92ca52694c9bba6c2f44a56f6ae5362a0bf81147872aa5299c13,"This class serves as a wrapper for `ContentFile` objects, providing caching capabilities and managing the lifecycle of the cached content, including its eventual return to a pool.",Cached content management,Decorator,Resource Management,,721,514,103
