Source path,Class name,Line count,Method count,Field count,WMC,LCOM4,TCC,CBO,Maintainability index
exist-start/src/main/java/org/exist/start/classloader/EXistClassLoader.java,org.exist.start.classloader.EXistClassLoader,23,2,0,4,2,0.0,4,66.07742441934896
exist-start/src/main/java/org/exist/start/classloader/ReflectionUtils.java,org.exist.start.classloader.ReflectionUtils,58,3,0,3,3,0.0,6,58.59180883969969
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,110,9,1,20,3,0.16666666666666666,17,61.884077900465215
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,417,16,26,58,3,0.09166666666666666,15,52.652584017140015
exist-start/src/main/java/org/exist/start/StopException.java,org.exist.start.StopException,6,1,0,1,1,1.0,1,76.56748572033354
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,133,3,3,15,1,0.3333333333333333,7,46.69608703836906
exist-start/src/main/java/org/exist/start/StartException.java,org.exist.start.StartException,22,4,1,5,1,0.5,2,74.30350214392297
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,196,24,0,24,24,0.0,4,66.12577652427117
exist-samples/src/main/java/org/exist/samples/Samples.java,org.exist.samples.Samples,104,11,1,11,5,0.0,2,71.15184385760364
exist-core/src/main/java/org/exist/client/ResourceDescriptor.java,org.exist.client.ResourceDescriptor,79,8,3,8,3,0.2857142857142857,2,71.80559852985743
exist-core/src/main/java/org/exist/client/PrettyXmldbURI.java,org.exist.client.PrettyXmldbURI,17,3,1,3,1,1.0,2,76.64116544738636
exist-core/src/main/java/org/exist/client/EnterKeyAdapter.java,org.exist.client.EnterKeyAdapter,39,3,1,10,2,0.3333333333333333,4,62.43822045062253
exist-core/src/main/java/org/exist/client/ClientAction.java,org.exist.client.ClientAction,25,2,0,3,1,0.0,1,67.95567812742425
exist-core/src/main/java/org/exist/client/FavouriteConnection.java,org.exist.client.FavouriteConnection,110,7,7,8,1,1.0,4,64.86088370982435
exist-core/src/main/java/org/exist/client/CommandlineOptions.java,org.exist.client.CommandlineOptions,284,3,54,7,2,0.0,7,36.15976621014744
exist-core/src/main/java/org/exist/client/Messages.java,org.exist.client.Messages,18,2,2,3,2,0.0,1,69.78205222088991
exist-core/src/main/java/org/exist/client/IndexDialog.java,org.exist.client.IndexDialog,449,10,8,27,2,0.3111111111111111,43,44.54858979809474
exist-core/src/main/java/org/exist/client/FavouriteConnections.java,org.exist.client.FavouriteConnections,142,6,1,15,3,0.06666666666666667,11,53.02330400794334
exist-core/src/main/java/org/exist/client/Connection.java,org.exist.client.Connection,87,7,5,7,1,0.5238095238095238,0,67.02888482072775
exist-core/src/main/java/org/exist/client/InteractiveClient.java,org.exist.client.InteractiveClient,2536,70,50,455,3,0.26749482401656316,128,45.32335980652421
exist-core/src/main/java/org/exist/client/BackupContentsFilter.java,org.exist.client.BackupContentsFilter,14,2,0,3,2,0.0,3,70.85211309460352
exist-core/src/main/java/org/exist/client/CollectionXConf.java,org.exist.client.CollectionXConf,655,19,10,62,1,0.4152046783625731,29,49.74044320955522
exist-core/src/main/java/org/exist/client/CheckboxTableCellRenderer.java,org.exist.client.CheckboxTableCellRenderer,50,2,2,6,1,1.0,9,53.093914115226546
exist-core/src/main/java/org/exist/client/QueryDialog.java,org.exist.client.QueryDialog,644,15,25,45,4,0.2857142857142857,73,43.92594320996065
exist-core/src/main/java/org/exist/client/MimeTypeFileFilter.java,org.exist.client.MimeTypeFileFilter,59,3,2,9,1,1.0,7,56.35357630182274
exist-core/src/main/java/org/exist/client/ConnectionDialog.java,org.exist.client.ConnectionDialog,645,31,35,71,13,0.023655913978494623,58,51.844633755409944
exist-core/src/main/java/org/exist/client/security/UmaskEditor.java,org.exist.client.security.UmaskEditor,22,1,1,1,1,1.0,6,55.31860053545667
