Convention type,Pattern,Example,Frequency,Scope
comments,Classes have Javadoc documentation,EXistClassLoader,,project-wide
naming,Utils suffix for classes,ReflectionUtils,,project-wide
comments,Methods have Javadoc documentation,ReflectionUtils,,project-wide
naming,get* method naming pattern,getEXistClassLoader,,project-wide
naming,UPPER_SNAKE_CASE for constants,CONFIG_DIR_NAME,,project-wide
naming,set* method naming pattern,setMode,,project-wide
naming,Exception suffix for classes,StopException,,project-wide
imports,Static imports from org.exist.start.CompatibleJavaVersionCheck,org.exist.start.CompatibleJavaVersionCheck.IncompatibleJavaVersion.create,,project-wide
imports,Static imports from org.exist.start,org.exist.start.Main.ERROR_CODE_INCOMPATIBLE_JAVA_DETECTED,,project-wide
imports,Static imports from org.junit,org.junit.Assert.*,,project-wide
naming,Test suffix for classes,CompatibleJavaVersionCheckTest,,project-wide
naming,is* method naming pattern,isCollection,,project-wide
imports,Static imports from org.exist.util,org.exist.util.ArgumentUtil.*,,project-wide
imports,Static imports from se.softhouse.jargo,se.softhouse.jargo.Arguments.*,,project-wide
naming,camelCase for constants,helpArg,,project-wide
naming,save* method naming pattern,saveChanges,,project-wide
imports,Static imports from java.nio.charset,java.nio.charset.StandardCharsets.UTF_8,,project-wide
imports,Static imports from java.time,java.time.ZoneOffset.UTC,,project-wide
imports,Static imports from javax.xml.transform,javax.xml.transform.OutputKeys.OMIT_XML_DECLARATION,,project-wide
imports,Static imports from org.exist.storage.serializers,org.exist.storage.serializers.EXistOutputKeys.OMIT_ORIGINAL_XML_DECLARATION,,project-wide
imports,Static imports from org.xmldb.api.base,org.xmldb.api.base.ResourceType.XML_RESOURCE,,project-wide
naming,find* method naming pattern,findRecursive,,project-wide
naming,parse* method naming pattern,parseGZip,,project-wide
naming,load* method naming pattern,loadClientProperties,,project-wide
naming,process* method naming pattern,processCommandLineActions,,project-wide
naming,create* method naming pattern,createClientFrame,,project-wide
naming,has* method naming pattern,hasLoginDetails,,project-wide
naming,format* method naming pattern,formatString,,project-wide
naming,delete* method naming pattern,deleteRangeIndex,,project-wide
naming,update* method naming pattern,updateRangeIndex,,project-wide
naming,init* method naming pattern,initComponents,,project-wide
imports,Static imports from com.evolvedbinary.j8fu.tuple,com.evolvedbinary.j8fu.tuple.Tuple.Tuple,,project-wide
imports,Static imports from org.exist.client,org.exist.client.ClientFrame.MULTIPLE_INDICATOR,,project-wide
naming,can* method naming pattern,canModifyPermissions,,project-wide
imports,Static imports from org.exist.security,org.exist.security.SecurityManager.DBA_GROUP,,project-wide
naming,Factory suffix for classes,ExistRpcTypeFactory,,project-wide
imports,Static imports from org.exist.xmldb,org.exist.xmldb.EXistXPathQueryService.BEGIN_PROTECTED_MAX_LOCKING_RETRIES,,project-wide
imports,Static imports from java.nio.file,java.nio.file.StandardOpenOption.*,,project-wide
imports,Static imports from com.evolvedbinary.j8fu,com.evolvedbinary.j8fu.Either.*,,project-wide
naming,Config suffix for classes,FilteredServletConfig,,project-wide
naming,Abstract prefix for abstract classes,AbstractCachedResult,,project-wide
imports,Static imports from java.lang.management,java.lang.management.ManagementFactory.CLASS_LOADING_MXBEAN_NAME,,project-wide
naming,Manager suffix for classes,CacheManager,,project-wide
naming,_prefix for fields,_statusChangeTime,,project-wide
naming,Error suffix for classes,Error,,project-wide
imports,Static imports from java.lang.invoke,java.lang.invoke.MethodType.methodType,,project-wide
naming,Util suffix for classes,MapUtil,,project-wide
naming,mPrefix (Hungarian notation) for fields,mMessage,,project-wide
