Source path,Class name,Simple name,Asset type,Description,Fields
exist-core/src/main/java/org/exist/xmlrpc/RpcAPI.java,org.exist.xmlrpc.RpcAPI$RestoreTaskEvent,RestoreTaskEvent,DTO,DTO restore task event with fields: code,code
exist-core/src/main/java/org/exist/storage/BrokerPool.java,org.exist.storage.BrokerPool$Event,Event,DTO,DTO event,
exist-core/src/main/java/org/exist/storage/btree/IndexQuery.java,org.exist.storage.btree.IndexQuery,IndexQuery,DTO,"DTO index query with fields: ANY, EQ, NEQ, GT, LEQ and 14 more","ANY, EQ, NEQ, GT, LEQ, LT, GEQ, BW, NBW, BWX, NBWX, IN, NIN, TRUNC_RIGHT, TRUNC_LEFT, REGEXP, RANGE, op, vals"
exist-core/src/main/java/org/exist/storage/BrokerPoolServicesManager.java,org.exist.storage.BrokerPoolServicesManager$ManagerEvent,ManagerEvent,DTO,DTO manager event,
exist-core/src/main/java/org/exist/storage/blob/BlobStoreImpl.java,org.exist.storage.blob.BlobStoreImpl$BlobVacuum$Request,Request,DTO,DTO request,
exist-core/src/main/java/org/exist/client/DialogCompleteWithResponse.java,org.exist.client.DialogCompleteWithResponse,DialogCompleteWithResponse,DTO,DTO dialog complete with response,
exist-core/src/main/java/org/exist/client/DialogWithResponse.java,org.exist.client.DialogWithResponse,DialogWithResponse,DTO,DTO dialog with response,
exist-core/src/main/java/org/exist/collections/triggers/TriggerEvent.java,org.exist.collections.triggers.TriggerEvent,TriggerEvent,DTO,DTO trigger event with fields: LOG,LOG
exist-core/src/main/java/org/exist/xquery/CompiledXQuery.java,org.exist.xquery.CompiledXQuery,CompiledXQuery,DTO,DTO compiled x query,
exist-core/src/main/java/org/exist/xquery/functions/system/KillRunningXQuery.java,org.exist.xquery.functions.system.KillRunningXQuery,KillRunningXQuery,DTO,"DTO kill running x query with fields: WAIT_TIME_PARAM, XQUERY_ID_PARAM, logger, NAMESPACE_URI, PREFIX and 1 more","WAIT_TIME_PARAM, XQUERY_ID_PARAM, logger, NAMESPACE_URI, PREFIX, signatures"
exist-core/src/main/java/org/exist/xquery/PerformanceStatsImpl.java,org.exist.xquery.PerformanceStatsImpl$OptimizationStats,OptimizationStats,Record,"Record optimization stats with fields: source, type, line, column","source, type, line, column"
exist-core/src/main/java/org/exist/xquery/XQuery.java,org.exist.xquery.XQuery,XQuery,DTO,DTO x query with fields: LOG,LOG
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,Response,DTO,"DTO response with fields: stdHeaders, code, statusDesc, content, binaryContent and 2 more","stdHeaders, code, statusDesc, content, binaryContent, encoding, contentType"
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,Query,DTO,"DTO query with fields: text, variables, properties, start, max and 7 more","text, variables, properties, start, max, enclose, wrap, method, typed, mime, cache, session"
exist-core/src/main/java/org/exist/management/impl/RunningQuery.java,org.exist.management.impl.RunningQuery,RunningQuery,DTO,"DTO running query with fields: id, sourceType, sourceKey, terminating, requestURI and 2 more","id, sourceType, sourceKey, terminating, requestURI, thread, startTime"
exist-core/src/main/java/org/exist/test/runner/XMLTestRunner.java,org.exist.test.runner.XMLTestRunner$XMLTestInfo,XMLTestInfo,Record,"Record x m l test info with fields: name, description, childNames","name, description, childNames"
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo,XQueryTestInfo,Record,"Record x query test info with fields: prefix, namespace, testFunctions","prefix, namespace, testFunctions"
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo$TestFunctionDef,TestFunctionDef,Record,"Record test function def with fields: localName, arity","localName, arity"
exist-core/src/main/java/org/exist/debugger/Response.java,org.exist.debugger.Response,Response,DTO,DTO response,
exist-core/src/main/java/org/exist/util/sax/event/lexicalhandler/LexicalHandlerEvent.java,org.exist.util.sax.event.lexicalhandler.LexicalHandlerEvent,LexicalHandlerEvent,DTO,DTO lexical handler event,
exist-core/src/main/java/org/exist/util/sax/event/TextEvent.java,org.exist.util.sax.event.TextEvent,TextEvent,DTO,DTO text event with fields: ch,ch
exist-core/src/main/java/org/exist/util/sax/event/contenthandler/ContentHandlerEvent.java,org.exist.util.sax.event.contenthandler.ContentHandlerEvent,ContentHandlerEvent,DTO,DTO content handler event,
exist-core/src/main/java/org/exist/util/sax/event/SAXEvent.java,org.exist.util.sax.event.SAXEvent,SAXEvent,DTO,DTO s a x event,
exist-core/src/main/java/org/exist/util/Configuration.java,org.exist.util.Configuration$StartupTriggerConfig,StartupTriggerConfig,Record,"Record startup trigger config with fields: clazz, params","clazz, params"
exist-core/src/main/java/org/exist/util/Configuration.java,org.exist.util.Configuration$IndexModuleConfig,IndexModuleConfig,Record,"Record index module config with fields: id, className, config","id, className, config"
exist-core/src/main/java/org/exist/stax/EmbeddedXMLStreamReader.java,org.exist.stax.EmbeddedXMLStreamReader$ElementEvent,ElementEvent,DTO,"DTO element event with fields: data, childCount, currentChild","data, childCount, currentChild"
