Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
junit:junit:4.13.2,junit,,Test,1,
com.google.code.findbugs:jsr305:3.0.2,com.google.code.findbugs,,Nullable,1,
net.jcip:jcip-annotations:1.0,net.jcip,,ThreadSafe,1,
org.apache.logging.log4j:log4j-api:2.25.3,org.apache.logging.log4j,,"Logger, LogManager",1,
org.apache.ws.commons.util:ws-commons-util:1.0.2,org.apache.ws.commons.util,,NamespaceContextImpl,1,
com.evolvedbinary.j8fu:j8fu:1.24.0,com.evolvedbinary.j8fu,,Tuple,1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-server:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"TypeParser, TypeFactoryImpl, XmlRpcStreamConfig, XmlRpcController, TypeSerializer",1,
net.sf.xmldb-org:xmldb-api:2.0.0,net.sf.xmldb-org,,XMLDBException,1,
jakarta.servlet:jakarta.servlet-api:5.0.0,jakarta.servlet,,"HttpServletRequest, ServletContext, HttpServletResponse, ServletConfig, ServletException",1,
com.github.ben-manes.caffeine:caffeine:3.2.3,com.github.ben-manes.caffeine,,"Cache, Caffeine",1,
net.sf.saxon:Saxon-HE:9.9.1-8,net.sf.saxon,,"Configuration, Processor",1,
it.unimi.dsi:fastutil:8.5.18,it.unimi.dsi,,"Long2ObjectMap, Long2ObjectMap.Entry",1,
org.apache.commons:commons-pool2:2.13.1,org.apache.commons,,"PooledObject, BasePooledObjectFactory, DefaultPooledObject",1,
commons-io:commons-io:2.21.0,commons-io,,"UnsynchronizedByteArrayOutputStream, UnsynchronizedByteArrayInputStream",1,
com.ibm.icu:icu4j:59.1,com.ibm.icu,,Collator,1,
se.softhouse:jargo:0.4.14,se.softhouse,,"Argument, ParsedArguments, CommandLineParser, ArgumentException",1,
org.aspectj:aspectjrt:1.9.25.1,org.aspectj,,"JoinPoint, Pointcut, Aspect, Before, AfterReturning, MethodSignature",1,
com.fasterxml.jackson.core:jackson-core:2.21.1,com.fasterxml.jackson.core,,"JsonEncoding, DefaultPrettyPrinter, JsonFactory, JsonGenerator",1,
com.evolvedbinary.multilock:multilock:1.0.1,com.evolvedbinary.multilock,,MultiLock,1,
org.quartz-scheduler:quartz:2.5.2,org.quartz-scheduler,,"Job, JobDataMap, JobExecutionContext, JobExecutionException",1,
at.yawk.lz4:lz4-java:1.10.4,at.yawk.lz4,,"StreamingXXHash64, XXHashFactory",1,
com.fifesoft:rsyntaxtextarea:3.6.2,com.fifesoft,,"RTextScrollPane, RSyntaxTextArea, SyntaxConstants",1,
org.apache.ant:ant:1.10.15,org.apache.ant,,DirectoryScanner,1,
org.jline:jline:4.0.4,org.jline,,"Terminal, History, ParsedLine, DefaultHistory, LineReaderBuilder, EndOfFileException, Completer, Candidate",1,
com.evolvedbinary.thirdparty.org.apache.xmlrpc:xmlrpc-client:5.0.0,com.evolvedbinary.thirdparty.org.apache.xmlrpc,,"XmlRpcClientConfigImpl, XmlRpcClient",1,
net.bytebuddy:byte-buddy:1.18.7,net.bytebuddy,,"InvocationHandlerAdapter, DynamicType.Builder, ByteBuddy, DynamicType, ElementMatchers",1,
commons-codec:commons-codec:1.21.0,commons-codec,,"Base64, Hex",1,
org.apache.commons:commons-lang3:3.20.0,org.apache.commons,,StringUtils,1,
org.exist-db.thirdparty.xerces:xercesImpl:2.12.2,org.exist-db.thirdparty.xerces,,"SAXInputSource, XMLResourceIdentifier, XMLSchemaDescription, XNIException, QName, XMLEntityResolver, XMLEntityDescriptionImpl, XSDDescription",1,
org.xmlresolver:xmlresolver:6.0.21,org.xmlresolver,,Resolver,1,
io.lacuna:bifurcan:0.2.0-rc1,io.lacuna,,IEntry,1,
org.relaxng:jing:20241231,org.relaxng,,"SchemaReader, PropertyId, CompactSchemaReader, ValidateProperty, ValidationDriver, PropertyMapBuilder",1,
antlr:antlr:2.7.7,antlr,,"RecognitionException, ANTLRException, AST, TokenStreamException",1,
com.github.krukow:clj-ds:0.0.4,com.github.krukow,,"PersistentVector, ITransientCollection, ISeq, RT, IPersistentVector",1,
org.exist-db:exist-saxon-regex:9.4.0-9.e1,org.exist-db,,"RegexSyntaxException, JDK15RegexTranslator, RegularExpression",1,
org.jgrapht:jgrapht-core:1.5.2,org.jgrapht,,"SupplierUtil, ConcurrencyUtil, ShortestPathAlgorithm, DefaultEdge, TransitNodeRoutingShortestPath, DefaultGraphType, Graph",1,
org.jgrapht:jgrapht-opt:1.5.2,org.jgrapht,,FastutilMapGraph,1,
org.bouncycastle:bcprov-jdk18on:1.83,org.bouncycastle,,BouncyCastleProvider,1,
jakarta.xml.bind:jakarta.xml.bind-api:4.0.5,jakarta.xml.bind,,"XmlAccessorType, XmlType, XmlSchemaType, XmlRootElement, XmlAccessType, XmlAttribute",1,
org.exquery:exquery-common:0.2.1,org.exquery,,HttpRequest,1,
org.hamcrest:hamcrest:3.0,org.hamcrest,,"DiagnosingMatcher, Description",1,
org.xmlunit:xmlunit-core:2.11.0,org.xmlunit,,"Input, Convert, DiffBuilder, Diff",1,
org.exist-db.thirdparty.javax.xml.xquery:xqjri:20080114-133351,org.exist-db.thirdparty.javax.xml.xquery,,"XQException, XQItemType",1,
org.expath.packaging:pkg-java:2.0.1,org.expath.packaging,,"FileSystemStorage, BatchUserInteraction, Packages, FileSystemStorage.FileSystemResolver, PackageException, Package, XarSource, UserInteractionStrategy",1,
com.siemens.ct.exi:exificient:1.0.7,com.siemens.ct.exi,,SAXEncoder,1,
com.siemens.ct.exi:exificient-core:1.0.7,com.siemens.ct.exi,,"EXIFactory, Grammars, DefaultEXIFactory, EXIException",1,
com.siemens.ct.exi:exificient-grammars:1.0.7,com.siemens.ct.exi,,GrammarFactory,1,
com.fasterxml.uuid:java-uuid-generator:5.2.0,com.fasterxml.uuid,,"NameBasedGenerator, Generators, RandomBasedGenerator",1,
commons-logging:commons-logging:1.3.6,commons-logging,,"LogFactory, Log",1,
org.eclipse.jetty:jetty-webapp:11.0.25,org.eclipse.jetty,,WebAppContext,1,
org.eclipse.jetty:jetty-util:11.0.25,org.eclipse.jetty,,"LifeCycle, PathResource, Resource, Jetty, LifeCycle.Listener, MultiException",1,
org.eclipse.jetty:jetty-xml:11.0.25,org.eclipse.jetty,,XmlConfiguration,1,
org.eclipse.jetty:jetty-server:11.0.25,org.eclipse.jetty,,"ContextHandler, Handler, Server, HandlerWrapper, HandlerContainer, Connector, NetworkConnector",1,
org.eclipse.jetty:jetty-servlet:11.0.25,org.eclipse.jetty,,"ServletContextHandler, ServletHolder",1,
org.easymock:easymock:5.6.0,org.easymock,,EasyMock,1,
org.assertj:assertj-core:3.27.7,org.assertj,,ThrowableAssert.ThrowingCallable,1,
org.junit.jupiter:junit-jupiter-api:6.0.3,org.junit.jupiter,,"AfterEach, BeforeEach, ExtendWith, Test",1,
org.apache.httpcomponents:httpclient:4.5.14,org.apache.httpcomponents,,"PoolingHttpClientConnectionManager, CloseableHttpClient, HttpClients",1,
org.apache.httpcomponents:httpcore:4.4.16,org.apache.httpcomponents,,"HttpResponse, HttpStatus",1,
org.apache.httpcomponents:fluent-hc:4.5.14,org.apache.httpcomponents,,"Executor, Request",1,
org.hamcrest:hamcrest-core:1.3,org.hamcrest,,Matcher,1,
