Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,checkForCompatibleJavaVersion,throws-declaration,StartException,propagate,,
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,checkForCompatibleJavaVersion,throws-declaration,StartException,propagate,,
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,extractJavaVersionComponents,try-catch,NumberFormatException,recover,,
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,addComponent,try-catch,InvalidPathException,printStackTrace,,
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,addComponent,throws-declaration,InvalidPathException,propagate,,
exist-start/src/main/java/org/exist/start/classloader/Classpath.java,org.exist.start.classloader.Classpath,getClassLoader,try-catch,MalformedURLException,recover,,
exist-start/src/main/java/org/exist/start/classloader/EXistClassLoader.java,org.exist.start.classloader.EXistClassLoader,addURLs,try-catch,MalformedURLException,printStackTrace,,
exist-start/src/main/java/org/exist/start/classloader/ReflectionUtils.java,org.exist.start.classloader.ReflectionUtils,invokeMain,throws-declaration,"IllegalAccessException, InvocationTargetException, NoSuchMethodException, ClassNotFoundException",propagate,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,main,try-catch,Exception,printStackTrace,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,run,try-catch,StartException,custom,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,startExistdb,throws-declaration,StartException,propagate,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,startExistdb,try-catch,Exception,printStackTrace+wrap,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,tweakTempDirectory,try-catch,InvalidPathException,ignore,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,configureForJetty,throws-declaration,StartException,propagate,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,shutdownExistdb,throws-declaration,StopException,propagate,,
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,shutdownExistdb,try-catch,"ClassNotFoundException | NoSuchMethodException | IllegalAccessException |
                       InvocationTargetException",wrap,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkNoVersion,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava8,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava9,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava10,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava11,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava12,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava12_BellSoft,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava13,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava14,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava15_0_0,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava15_0_1,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava15_0_2,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava15_0_3,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava21,throws-declaration,StartException,propagate,,
exist-start/src/test/java/org/exist/start/CompatibleJavaVersionCheckTest.java,org.exist.start.CompatibleJavaVersionCheckTest,checkJava25,throws-declaration,StartException,propagate,,
