Entity ID,Source path,Client class,Target service,Client type,Protocol,Base URL
external:org.exist.dom.persistent.CDataIntergationTest,exist-core/src/test/java/org/exist/dom/persistent/CDataIntergationTest.java,org.exist.dom.persistent.CDataIntergationTest,C Data Intergation Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.session.AttributeTest,exist-core/src/test/java/org/exist/xquery/functions/session/AttributeTest.java,org.exist.xquery.functions.session.AttributeTest,Attribute Test Service,Java HttpClient,,
external:org.exist.xquery.functions.response.StreamBinaryTest,exist-core/src/test/java/org/exist/xquery/functions/response/StreamBinaryTest.java,org.exist.xquery.functions.response.StreamBinaryTest,Stream Binary Test Service,Java HttpClient,,
external:org.exist.xquery.functions.request.GetParameterTest,exist-core/src/test/java/org/exist/xquery/functions/request/GetParameterTest.java,org.exist.xquery.functions.request.GetParameterTest,Get Parameter Test Service,Java HttpClient,,
external:org.exist.xquery.functions.request.PatchTest,exist-core/src/test/java/org/exist/xquery/functions/request/PatchTest.java,org.exist.xquery.functions.request.PatchTest,Patch Test Service,Java HttpClient,,
external:org.exist.xquery.functions.request.PatchTest,exist-core/src/test/java/org/exist/xquery/functions/request/PatchTest.java,org.exist.xquery.functions.request.PatchTest,Patch Test Service,Java HttpClient,,
external:org.exist.xquery.functions.request.GetHeaderTest,exist-core/src/test/java/org/exist/xquery/functions/request/GetHeaderTest.java,org.exist.xquery.functions.request.GetHeaderTest,Get Header Test Service,Java HttpClient,,
external:org.exist.xquery.functions.request.GetDataTest,exist-core/src/test/java/org/exist/xquery/functions/request/GetDataTest.java,org.exist.xquery.functions.request.GetDataTest,Get Data Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,exist-core/src/test/java/org/exist/xquery/functions/xmldb/XMLDBAuthenticateTest.java,org.exist.xquery.functions.xmldb.XMLDBAuthenticateTest,X M L D B Authenticate Test Service,Java HttpClient,,
external:org.exist.xquery.RestBinariesTest,exist-core/src/test/java/org/exist/xquery/RestBinariesTest.java,org.exist.xquery.RestBinariesTest,Rest Binaries Test Service,Java HttpClient,,
external:org.exist.xmlrpc.MoveResourceTest$CheckThread,exist-core/src/test/java/org/exist/xmlrpc/MoveResourceTest.java,org.exist.xmlrpc.MoveResourceTest$CheckThread,Move Resource Test$ Check Thread Service,Java HttpClient,,
external:org.exist.management.JmxRemoteTest,exist-core/src/test/java/org/exist/management/JmxRemoteTest.java,org.exist.management.JmxRemoteTest,Jmx Remote Test Service,Java HttpClient,,
external:org.exist.http.AuthenticatedHttpClientTest,exist-core/src/test/java/org/exist/http/AuthenticatedHttpClientTest.java,org.exist.http.AuthenticatedHttpClientTest,Authenticated Http Client Test Service,Java HttpClient,,
external:org.exist.http.AbstractHttpTest,exist-core/src/test/java/org/exist/http/AbstractHttpTest.java,org.exist.http.AbstractHttpTest,Abstract Http Test Service,Java HttpClient,,
external:org.exist.http.AbstractHttpTest,exist-core/src/test/java/org/exist/http/AbstractHttpTest.java,org.exist.http.AbstractHttpTest,Abstract Http Test Service,Java HttpClient,,
external:org.exist.http.AbstractHttpTest,exist-core/src/test/java/org/exist/http/AbstractHttpTest.java,org.exist.http.AbstractHttpTest,Abstract Http Test Service,Java HttpClient,,
external:org.exist.http.AbstractHttpTest,exist-core/src/test/java/org/exist/http/AbstractHttpTest.java,org.exist.http.AbstractHttpTest,Abstract Http Test Service,Java HttpClient,,
external:org.exist.xquery.modules.httpclient.SendRequestFunction,extensions/modules/http-client/src/main/java/org/exist/xquery/modules/httpclient/SendRequestFunction.java,org.exist.xquery.modules.httpclient.SendRequestFunction,Send Request Function Service,Java HttpClient,,
