Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,checkForCompatibleJavaVersion,"org.exist.start.CompatibleJavaVersionCheck{name=checkForCompatibleJavaVersion,return=void,parameters=[]}",1,0,0,10,0,1.0,0,1,0,4.75,0.5,0.0
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,checkForCompatibleJavaVersion,"org.exist.start.CompatibleJavaVersionCheck{name=checkForCompatibleJavaVersion,return=void,parameters=[java.util.Optional<java.lang.String>]}",12,10,3,40,1,11.92,5,6,9,475.03,16.71,0.13
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck,extractJavaVersionComponents,"org.exist.start.CompatibleJavaVersionCheck{name=extractJavaVersionComponents,return=java.util.Optional<int[]>,parameters=[java.util.Optional<java.lang.String>]}",2,3,1,15,1,13.6,0,13,4,361.89,14.64,0.1
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,IncompatibleJavaVersion,"org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion{name=<constructor>,return=org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,parameters=[int,java.lang.Integer,java.lang.Integer]}",1,0,0,6,3,3.0,3,0,0,18.0,1.0,0.0
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,create,"org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion{name=create,return=org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,parameters=[int,java.lang.Integer,java.lang.Integer]}",1,0,0,4,3,1.0,0,1,0,15.51,1.0,0.0
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,create,"org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion{name=create,return=org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,parameters=[int,java.lang.Integer]}",1,0,0,4,2,1.0,0,1,0,15.51,1.0,0.0
exist-start/src/main/java/org/exist/start/CompatibleJavaVersionCheck.java,org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,create,"org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion{name=create,return=org.exist.start.CompatibleJavaVersionCheck$IncompatibleJavaVersion,parameters=[int]}",1,0,0,4,1,1.0,0,1,0,13.93,1.33,0.0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,Main,"org.exist.start.Main{name=<constructor>,return=org.exist.start.Main,parameters=[]}",1,0,0,3,0,0.0,0,0,0,0.0,0.0,0.0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,Main,"org.exist.start.Main{name=<constructor>,return=org.exist.start.Main,parameters=[java.lang.String]}",1,0,0,4,1,1.0,1,0,0,3.0,1.0,0.0
exist-start/src/main/java/org/exist/start/Main.java,org.exist.start.Main,main,"org.exist.start.Main{name=main,return=void,parameters=[java.lang.String[]]}",2,1,1,10,1,4.0,0,4,0,62.51,3.33,0.01
